,first_accuracy,first_wait,delayed,cancelled
247,47.0,0.0,0,0
248,-47.0,23.0,0,0
249,-44.0,29.0,0,0
250,52.0,17.0,0,0
251,,,0,0
252,55.0,446.0,0,0
253,,,0,0
254,-45.0,0.0,0,0
255,299.0,303.0,0,0
256,-99.0,0.0,0,0
257,232.0,765.0,0,0
258,-93.0,0.0,0,0
259,21795.0,207.0,1,0
260,659.0,57.0,0,0
261,,,0,0
262,18.0,2265.0,0,0
263,580.0,533.0,0,0
264,,,0,0
265,,,0,0
266,1.0,0.0,0,0
267,94.0,419.0,0,0
268,,,0,0
269,405.0,358.0,0,0
270,-85.0,0.0,0,0
271,,,0,0
272,566.0,0.0,0,0
273,62.0,8.0,0,0
274,1916.0,619.0,0,0
275,-51.0,0.0,1,0
276,202.0,479.0,0,0
277,,,0,0
278,,,0,0
279,32.0,1325.0,0,1
280,-22.0,0.0,0,0
281,-2.0,72.0,0,0
282,-6.0,87.0,1,0
283,,,0,0
284,1956.0,700.0,0,0
285,,,0,1
286,2.0,157.0,0,0
287,93.0,52.0,0,0
288,3.0,2610.0,0,1
289,-77.0,1473.0,0,0
290,-47.0,0.0,1,0
291,125.0,0.0,0,0
292,-159.0,1022.0,0,0
293,,,0,0
294,,,0,0
295,,,0,0
296,-111.0,44.0,0,0
297,36.0,0.0,0,0
298,-131.0,51.0,0,0
299,-111.0,1796.0,1,1
300,,,1,0
301,10681.0,5315.0,0,0
302,,,0,0
303,-172.0,113.0,1,0
304,,,0,0
305,,,0,0
306,868.0,229.0,0,0
307,,,0,0
308,100.0,112.0,1,0
309,2937.0,1024.0,0,0
310,115.0,86.0,0,0
311,-453.0,0.0,0,0
312,-1.0,0.0,0,0
313,63.0,7.0,0,0
314,,,0,0
315,,,0,0
316,2074.0,0.0,0,0
317,-70.0,0.0,1,0
318,-114.0,0.0,0,0
319,,,0,0
320,,,0,0
321,7615.0,214.0,0,0
322,,,0,0
323,726.0,73.0,0,0
324,,,0,0
325,-166.0,308.0,1,0
326,-38.0,56.0,0,0
327,-127.0,138.0,0,0
328,,,0,0
329,-408.0,1404.0,0,1
330,288.0,0.0,0,0
331,3780.0,238.0,0,1
332,,,0,0
333,23.0,553.0,0,0
334,133.0,0.0,0,0
335,,,0,0
336,-53.0,219.0,1,0
337,,,0,0
338,,,0,0
339,346.0,0.0,0,0
340,-6.0,0.0,0,0
341,,,0,0
342,-32.0,0.0,0,0
343,-56.0,0.0,1,0
344,-30.0,59.0,0,0
345,,,1,0
346,,,0,0
347,-35.0,0.0,0,0
348,678.0,1171.0,0,0
349,3072.0,527.0,0,0
350,2111.0,11.0,1,0
351,,,0,0
352,,,0,0
353,-74.0,168.0,1,0
354,-243.0,421.0,0,0
355,,,0,1
356,-181.0,0.0,0,0
357,,,0,0
358,908.0,2343.0,0,0
359,,,1,0
360,,,0,0
361,,,1,0
362,,,0,0
363,-73.0,0.0,0,0
364,-44.0,0.0,0,0
365,-61.0,84.0,0,0
366,12888.0,288.0,1,0
367,162.0,398.0,0,0
368,-331.0,2212.0,0,0
369,-97.0,0.0,0,0
370,-8.0,381.0,0,0
371,-2.0,331.0,0,0
372,15.0,532.0,1,0
373,,,0,0
374,76.0,449.0,0,0
375,,,0,1
376,-6.0,0.0,0,0
377,74.0,0.0,0,0
378,90.0,0.0,0,0
379,1391.0,0.0,0,0
380,,,0,0
381,2960.0,970.0,0,0
382,,,0,0
383,-115.0,324.0,0,1
384,272.0,273.0,0,0
385,87.0,13.0,0,1
386,-8.0,0.0,0,0
387,321.0,23.0,0,0
388,-11.0,410.0,0,0
389,106.0,52.0,0,0
390,-354.0,71.0,1,0
391,468.0,0.0,0,0
392,-9.0,48.0,0,0
393,-11.0,182.0,0,0
394,-398.0,392.0,0,0
395,618.0,422.0,0,0
396,-344.0,506.0,1,0
397,,,0,0
398,,,0,0
399,-8.0,0.0,0,0
400,,,0,0
401,,,1,0
402,-30.0,143.0,0,0
403,12.0,0.0,0,0
404,91.0,0.0,0,0
405,,,0,0
406,-117.0,184.0,0,0
407,-123.0,0.0,0,0
408,,,0,0
409,8.0,31.0,0,0
410,,,0,0
411,,,1,0
412,1.0,9472.0,0,0
413,1188.0,171.0,0,1
414,-233.0,1210.0,0,0
415,-56.0,0.0,0,0
416,10.0,0.0,0,0
417,69.0,266.0,0,0
418,,,0,0
419,,,0,0
420,955.0,511.0,0,0
421,7.0,0.0,0,0
422,1156.0,67.0,1,0
423,-309.0,179.0,1,0
424,-110.0,189.0,0,0
425,,,0,0
426,214.0,444.0,0,0
427,,,0,0
428,-80.0,21.0,0,0
429,1022.0,159.0,0,0
430,,,0,0
431,,,1,0
432,83.0,0.0,0,0
433,,,0,0
434,,,0,0
435,95.0,399.0,1,0
436,,,0,0
437,,,0,1
438,,,1,0
439,113.0,440.0,0,0
440,1777.0,29.0,1,0
441,-141.0,467.0,0,0
442,,,0,1
443,,,1,0
444,,,0,0
445,-215.0,552.0,0,0
446,-98.0,21.0,0,0
447,798.0,393.0,1,0
448,74.0,178.0,1,0
449,20.0,13.0,1,0
450,-173.0,173.0,0,0
451,2159.0,185.0,0,0
452,,,0,0
453,,,1,0
454,,,0,0
455,-159.0,761.0,0,0
456,,,0,0
457,,,0,0
458,144.0,64.0,0,0
459,-213.0,997.0,0,1
460,,,1,0
461,57.0,129.0,1,0
462,15.0,0.0,0,0
463,,,1,0
464,80.0,707.0,0,0
465,,,0,1
466,-39.0,1017.0,0,0
467,,,0,0
468,,,0,0
469,54.0,0.0,0,0
470,71.0,262.0,1,0
471,271.0,0.0,0,0
472,8788.0,159.0,1,0
473,121.0,0.0,1,0
474,,,0,0
475,,,0,0
476,287.0,820.0,1,0
477,-124.0,0.0,0,0
478,,,0,0
479,-10.0,141.0,0,0
480,,,0,0
481,32.0,135.0,0,0
482,99.0,53.0,1,0
483,,,0,0
484,576.0,0.0,0,0
485,,,0,0
486,,,0,0
487,,,1,0
488,,,0,0
489,-1056.0,664.0,0,1
490,,,0,0
491,,,0,0
492,593.0,0.0,0,0
493,-60.0,132.0,0,0
494,44.0,8.0,0,0
495,,,1,0
496,,,0,0
497,-37.0,793.0,0,0
498,38.0,402.0,0,0
499,4589.0,2064.0,0,1
500,-43.0,222.0,0,0
501,1.0,5.0,0,0
502,,,0,0
503,-123.0,473.0,0,0
504,196.0,117.0,0,0
505,1846.0,48.0,0,0
506,1846.0,48.0,0,0
507,,,0,0
508,,,0,0
509,738.0,779.0,1,0
510,2095.0,731.0,0,1
511,241.0,1412.0,0,0
512,,,0,0
513,124.0,1842.0,0,0
514,142.0,352.0,0,0
515,,,0,0
516,-96.0,0.0,0,0
517,97.0,12.0,1,0
518,-264.0,0.0,0,0
519,,,0,0
520,32.0,1092.0,1,1
521,,,0,0
522,,,0,1
523,-119.0,392.0,0,0
524,95.0,135.0,0,0
525,105.0,311.0,0,0
526,59.0,112.0,0,0
527,-6.0,1.0,0,0
528,705.0,376.0,0,0
529,,,0,0
530,-965.0,1018.0,0,0
531,-152.0,78.0,0,0
532,97.0,0.0,0,0
533,-174.0,485.0,1,0
534,,,0,0
535,1477.0,372.0,0,0
536,1.0,0.0,0,0
537,141.0,0.0,0,1
538,-73.0,199.0,0,0
539,,,0,0
540,769.0,1514.0,0,0
541,264.0,0.0,0,0
542,19149.0,442.0,0,1
543,,,0,0
544,1215.0,1440.0,1,0
545,-14.0,44.0,0,0
546,,,0,0
547,429.0,0.0,0,0
548,48.0,524.0,0,0
549,,,0,0
